"","Style","Artist","Painting","URL"
"1","Romanticism","George Stubbss","Horse Attacked by a Lion","https://uploads0.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion.jpg!Large.jpg"
"2","Romanticism","George Stubbss","Zebra","https://uploads3.wikiart.org/images/george-stubbs/zebra-1763.jpg"
"3","Romanticism","Joseph Wright ","A Girl reading a letter by Candlelight, with a Young Man peering over her shoulder","https://uploads8.wikiart.org/images/joseph-wright/a-girl-reading-a-letter-by-candlelight-with-a-young-man-peering-over-her-shoulder-1762.jpg!Large.jpg"
"4","Romanticism","Joseph Wright ","Two Girls with their Black Servant","https://uploads2.wikiart.org/images/joseph-wright/a-conversation-between-girls-or-two-girls-with-their-black-servant-1770.jpg!Large.jpg"
"5","Romanticism","John Singleton Copley","Watson and the Shark","https://uploads0.wikiart.org/images/john-singleton-copley/watson-and-the-shark-1782.jpg!Large.jpg"
"6","Romanticism","John Singleton Copley","The Siege and Relief of Gibraltar","https://uploads3.wikiart.org/images/john-singleton-copley/the-siege-and-relief-of-gibraltar-1783.jpg"
"7","Romanticism","Henry Fuseli ","The Nightmare","https://uploads2.wikiart.org/images/henry-fuseli/the-nightmare-1781.jpg!Large.jpg"
"8","Romanticism","Henry Fuseli ","The Apothesis of Penelope Boothby","https://uploads7.wikiart.org/images/henry-fuseli/the-apothesis-of-penelope-boothby-1794(1).jpg!Large.jpg"
"9","Romanticism","Francisco Goya ","Triple generation","https://uploads8.wikiart.org/images/francisco-goya/triple-generation-1769.jpg!Large.jpg"
"10","Romanticism","Francisco Goya ","Witches Sabbath","https://uploads6.wikiart.org/images/francisco-goya/witches-sabbath-1789.jpg!Large.jpg"
"11","Realism","Alexey Venetsianov ","Girl in a Kerchief","https://uploads8.wikiart.org/images/alexey-venetsianov/girl-in-a-kerchief.jpg!Large.jpg"
"12","Realism","Alexey Venetsianov ","Reapers","https://uploads6.wikiart.org/images/alexey-venetsianov/reapers.jpg!Large.jpg"
